Date,Job Title,Link,Company,Location,Job Type
27 Janvier 2025,INFORMATICIEN,https://www.jobinfocamer.com/job/40396/informaticien-a-emi-money,EMI MONEY,Yaoundé,CDD
23 Janvier 2025,Analyste Programmeur,https://www.jobinfocamer.com/job/40371/analyste-programmeur-a-expert3dev-sarl,Expert3dev SARL,Yaoundé,CDI
09 Janvier 2025,Assistant.e Suivi Evaluation,https://www.jobinfocamer.com/job/40320/assistant-e-suivi-evaluation-a-la-croix-rouge-camerounaise-et-la-croix-rouge-francaise,La Croix-Rouge camerounaise et la Croix-Rouge française,Batouri - Région de l'Est Cameroun,CDD
09 Janvier 2025,Développeur Full Stack,https://www.jobinfocamer.com/job/40313/developpeur-full-stack-a-entreprise-de-la-place,Entreprise de la place,Douala,CDI
02 Janvier 2025,Technicien Informatique,https://www.jobinfocamer.com/job/40274/technicien-informatique-a-ncl-unlimited-sarl,NCL Unlimited SARL,Yaoundé,CDD
02 Janvier 2025,Développeur web,https://www.jobinfocamer.com/job/40272/developpeur-web-a-esoaf,ESOAF,Yaoundé,STAGE
26 Décembre 2024,Développeur Fullstack,https://www.jobinfocamer.com/job/40250/developpeur-fullstack-a-uniresa-sarl,Uniresa Sarl,Yaoundé,CDI
18 Décembre 2024,Informaticien,https://www.jobinfocamer.com/job/40217/informaticien-a-entreprise-de-la-place,Entreprise de la place,Yaoundé,CDI
29 Novembre 2024,Développeur Web et Mobile,https://www.jobinfocamer.com/job/40156/developpeur-web-et-mobile-a-ads-ltd,ADS LTD,Douala,STAGE
26 Novembre 2024,Développeur Fullstack,https://www.jobinfocamer.com/job/40140/developpeur-fullstack-a-omamori-sarl,OMAMORI SARL,Yaoundé,STAGE
22 Novembre 2024,Consultant en Web Development et Web Marketing,https://www.jobinfocamer.com/job/40125/consultant-en-web-development-et-web-marketing-a-handling-and-transport,Handling and Transport,Yaoundé,CDD
19 Novembre 2024,IT SPECIALIST,https://www.jobinfocamer.com/job/40095/it-specialist-a-homepro-cameroon-limited,HOMEPRO CAMEROON LIMITED,Douala,CDD
14 Novembre 2024,Data Analyst,https://www.jobinfocamer.com/job/40082/data-analyst-a-areko-group,AREKO GROUP,Douala,CDI
14 Novembre 2024,Technicien Réseau,https://www.jobinfocamer.com/job/40080/technicien-reseau-a-twingo-sarl,Twingo SARL,Yaoundé,STAGE
08 Novembre 2024,Développeur Backend,https://www.jobinfocamer.com/job/40058/developpeur-backend-a-ste-concept-sarl,STE CONCEPT SARL,Douala,CDD
06 Novembre 2024,Technicien en Maintenance informatique,https://www.jobinfocamer.com/job/40043/technicien-en-maintenance-informatique-a-pme,PME,Douala,CDI
01 Novembre 2024,Stagiaire Informatique,https://www.jobinfocamer.com/job/40030/stagiaire-informatique-a-helen-keller-international-cameroun,Helen Keller International Cameroun,Yaoundé,STAGE
29 Octobre 2024,Chef de Projet E-Commerce,https://www.jobinfocamer.com/job/40006/chef-de-projet-e-commerce-a-areko-group,AREKO GROUP,Douala,CDI
29 Octobre 2024,Chef de Projet Sénior,https://www.jobinfocamer.com/job/40004/chef-de-projet-senior-a-areko-group,AREKO GROUP,Douala,CDI
28 Octobre 2024,Analyste de données,https://www.jobinfocamer.com/job/39994/analyste-de-donnees-a-world-wide-international-business,World Wide International Business,Douala,CDI
28 Octobre 2024,Développeur Full Stack,https://www.jobinfocamer.com/job/39987/developpeur-full-stack-a-big-data-solution,Big Data Solution,Yaoundé,CDI
22 Octobre 2024,Responsable Bureau des projets,https://www.jobinfocamer.com/job/39960/responsable-bureau-des-projets-a-itgstore,ITGSTORE,Douala,CDI
18 Octobre 2024,Assistant(e) Informatique,https://www.jobinfocamer.com/job/39939/assistant-e-informatique-a-high-security-company,HIGH SECURITY COMPANY,Douala,CDI
17 Octobre 2024,Développeur fullstack,https://www.jobinfocamer.com/job/39918/developpeur-fullstack-a-gvs-services,GVS-SERVICES,Yaoundé,CDD
16 Octobre 2024,SEO Specialist,https://www.jobinfocamer.com/job/39908/seo-specialist-a-ekiti-africa,Ekiti Africa,Douala,CDI
02 Octobre 2024,Développeur Web,https://www.jobinfocamer.com/job/39845/developpeur-web-a-entreprise-de-la-place,Entreprise de la place,Douala,CDD
02 Octobre 2024,Responsable IT,https://www.jobinfocamer.com/job/39840/responsable-it-a-adex-cameroun,ADEX CAMEROUN,Douala,CDI
01 Octobre 2024,Technicien en Maintenance Informatique,https://www.jobinfocamer.com/job/39836/technicien-en-maintenance-informatique-a-marketmyx,Marketmyx,Douala,CDI
01 Octobre 2024,INFORMATICIEN,https://www.jobinfocamer.com/job/39835/informaticien-a-entreprise-de-la-place,Entreprise de la place,Douala,STAGE
27 Septembre 2024,DATA ANALYST,https://www.jobinfocamer.com/job/39822/data-analyst-a-seahorse,SEAHORSE,Yaoundé,CDI
22 Septembre 2024,Développeur Senior React.js,https://www.jobinfocamer.com/job/39779/developpeur-senior-react-js-a-tootree-sarl,Tootree SARL,Douala,CDD
20 Septembre 2024,IT specialist,https://www.jobinfocamer.com/job/39775/it-specialist-a-crihss-foundation,CRIHSS FOUNDATION,Yaoundé,CDD
19 Septembre 2024,Data Analyst,https://www.jobinfocamer.com/job/39763/data-analyst-a-entreprise-de-la-place,Entreprise de la place,Yaoundé,STAGE
16 Septembre 2024,Développeur Fullstack,https://www.jobinfocamer.com/job/39749/developpeur-fullstack-a-big-data-solution,Big Data Solution,Yaoundé,STAGE
04 Septembre 2024,SOFTWARE DEVELOPER,https://www.jobinfocamer.com/job/39686/software-developer-a-unics-plc-microfinance-institution,UNICS Plc. Microfinance Institution,Yaoundé,CDI
02 Septembre 2024,Stagiaire Professionnel Data analyst,https://www.jobinfocamer.com/job/39675/stagiaire-professionnel-data-analyst-a-groupe-arno,GROUPE ARNO,Douala,STAGE
30 Août 2024,Project Manager/Business Analyst,https://www.jobinfocamer.com/job/39663/project-manager-business-analyst-a-kola-group,KOLA GROUP,Douala,CDI
26 Août 2024,DÉVELOPPEUR SHOPIFY,https://www.jobinfocamer.com/job/39644/developpeur-shopify-a-world-wide-international-business,World Wide International Business,Douala,CDI
24 Août 2024,Angular/NodeJS Internship Software engineering,https://www.jobinfocamer.com/job/39633/angular-nodejs-internship-software-engineering-a-en-solutions,EN Solutions,Remote,STAGE
13 Août 2024,Développeur Web,https://www.jobinfocamer.com/job/39578/developpeur-web-a-entreprise-de-la-place,Entreprise de la place,Douala,CDI
07 Août 2024,Développeur Full Stack,https://www.jobinfocamer.com/job/39553/developpeur-full-stack-a-big-data-solution,Big Data Solution,Douala,STAGE
05 Août 2024,CHEF PROJET ODOO,https://www.jobinfocamer.com/job/39541/chef-projet-odoo-a-groupe-arno,GROUPE ARNO,Douala,CDD
04 Août 2024,Software Engineer,https://www.jobinfocamer.com/job/39536/software-engineer-a-karibu-capital,Karibu Capital,remote,STAGE
04 Août 2024,Développeur Java/Kafka,https://www.jobinfocamer.com/job/39532/developpeur-java-kafka-a-entreprise-de-la-place,Entreprise de la place,Douala,CDI
24 Juillet 2024,Tech Leader Confirmé,https://www.jobinfocamer.com/job/39476/tech-leader-confirme-a-indyli-services,INDYLI-SERVICES,Douala,CDI
12 Juillet 2024,IT,https://www.jobinfocamer.com/job/39405/it-a-solutions-rh-emploi-sarl,SOLUTIONS RH+ EMPLOI SARL,Douala,STAGE
09 Juillet 2024,Data Manager,https://www.jobinfocamer.com/job/39376/data-manager-a-la-croix-rouge-camerounaise-et-la-croix-rouge-francaise,La Croix-Rouge camerounaise et la Croix-Rouge française,Kousséri - Région de l'Extrême-Nord,CDD
08 Juillet 2024,Développeur Web,https://www.jobinfocamer.com/job/39374/developpeur-web-a-ads-ltd,ADS LTD,Douala,STAGE
25 Juin 2024,Chef de projet,https://www.jobinfocamer.com/job/39328/chef-de-projet-a-2beintech,2BeinTech,Douala,CDI
23 Juin 2024,DevOps Junior,https://www.jobinfocamer.com/job/39315/devops-junior-a-twingo-sarl,Twingo SARL,Yaoundé,STAGE
18 Juin 2024,Technology Manager,https://www.jobinfocamer.com/job/39278/technology-manager-a-maclain-associes,Maclain & Associés,Douala,CDI
06 Juin 2024,DÉVELOPPEUR WEB PHP5  FRONT ET BACK/DEVOPS,https://www.jobinfocamer.com/job/39215/developpeur-web-php5-front-et-back-devops-a-success-consults,SUCCESS CONSULTS,Yaoundé,CDD
02 Juin 2024,Développeur Web Front-End,https://www.jobinfocamer.com/job/39197/developpeur-web-front-end-a-twingo-sarl,Twingo SARL,Yaoundé,STAGE
30 Mai 2024,TECHNICIAN,https://www.jobinfocamer.com/job/39181/technician-a-carlcare-sarl,Carlcare Sarl,Douala,CDI
29 Mai 2024,Responsable IT,https://www.jobinfocamer.com/job/39175/responsable-it-a-wafacash-central-africa,WAFACASH CENTRAL AFRICA,Douala,CDI
29 Mai 2024,Data Engineer,https://www.jobinfocamer.com/job/39172/data-engineer-a-paysika,PaySika,Douala,CDD
27 Mai 2024,Développeur Frontend (Vue.js ou React.js),https://www.jobinfocamer.com/job/39154/developpeur-frontend-vue-js-ou-react-js--a-lmt-group,LMT Group,Yaoundé,CDD
27 Mai 2024,Développeur Backend Node.js,https://www.jobinfocamer.com/job/39153/developpeur-backend-node-js-a-lmt-group,LMT Group,Yaoundé,CDD
27 Mai 2024,UX/UI Designer,https://www.jobinfocamer.com/job/39152/ux-ui-designer-a-lmt-group,LMT Group,Yaoundé,CDD
26 Mai 2024,DÉVELOPPEUR WEB FULLSTACK,https://www.jobinfocamer.com/job/39147/developpeur-web-fullstack-a-mk-wbc,MK WBC,Douala,CDD
26 Mai 2024,"ADMINISTRATEUR SYSTÈME, RÉSEAU ET APPLICATIONS",https://www.jobinfocamer.com/job/39146/administrateur-systeme-reseau-et-applications-a-mk-ba,MK BA,Douala,CDD
25 Mai 2024,INGÉNIEUR MICROSOFT POWER PLATFORM,https://www.jobinfocamer.com/job/39144/ingenieur-microsoft-power-platform-a-valione,VALIONE,Yaoundé,CDI
24 Mai 2024,Testeur logiciel,https://www.jobinfocamer.com/job/39139/testeur-logiciel-a-kozao-africa,Kozao Africa,Douala,STAGE
24 Mai 2024,Développeur web Java EE,https://www.jobinfocamer.com/job/39138/developpeur-web-java-ee-a-kozao-africa,Kozao Africa,Douala,STAGE
15 Mai 2024,IT Lecturer,https://www.jobinfocamer.com/job/39086/it-lecturer-a-ict-university-cameroon,ICT UNIVERSITY CAMEROON,Yaoundé,CDI
05 Mai 2024,Développeur Full Stack,https://www.jobinfocamer.com/job/39043/developpeur-full-stack-a-entreprise-de-la-place,Entreprise de la place,Douala,CDI
18 Avril 2024,Développeur web/mobile stagiaire,https://www.jobinfocamer.com/job/38945/developpeur-web-mobile-stagiaire-a-kola-group,KOLA GROUP,Douala,STAGE
09 Avril 2024,Test Engineer,https://www.jobinfocamer.com/job/38906/test-engineer-a-transsion-holdings,TRANSSION HOLDINGS,Douala,CDI
08 Avril 2024,Technicien Réseau,https://www.jobinfocamer.com/job/38900/technicien-reseau-a-twingo-sarl,Twingo SARL,Yaoundé,STAGE
03 Avril 2024,Développeur Fullstack,https://www.jobinfocamer.com/job/38880/developpeur-fullstack-a-inter-it-services,INTER-IT SERVICES,Yaoundé,CDD
28 Mars 2024,DÉVELOPPEUR/CONCEPTEUR APPLICATION MOBILE,https://www.jobinfocamer.com/job/38864/developpeur-concepteur-application-mobile-a-leckpa-group,LECKPA GROUP,Yaoundé,STAGE
27 Mars 2024,Développeur web,https://www.jobinfocamer.com/job/38859/developpeur-web-a-startpoint,StartPoint,Yaoundé,CDI
24 Mars 2024,Développeur Logiciel,https://www.jobinfocamer.com/job/38835/developpeur-logiciel-a-entreprise-de-la-place,Entreprise de la place,Yaoundé,STAGE
23 Mars 2024,Développeur Senior Frontend,https://www.jobinfocamer.com/job/38823/developpeur-senior-frontend-a-securtrack,SECURTRACK,Douala,CDD
21 Mars 2024,Web Designer,https://www.jobinfocamer.com/job/38811/web-designer-a-entreprise-de-la-place,Entreprise de la place,Douala,CDI
21 Mars 2024,IT Intern,https://www.jobinfocamer.com/job/38809/it-intern-a-utecq,UTECQ,Yaoundé,STAGE
18 Mars 2024,Responsable IT,https://www.jobinfocamer.com/job/38794/responsable-it-a-wafacash-central-africa,WAFACASH CENTRAL AFRICA,Douala,CDI
06 Mars 2024,Formateur(trice) en Robotique et IA,https://www.jobinfocamer.com/job/38728/formateur-trice-en-robotique-et-ia-a-kola-group,KOLA GROUP,Douala,STAGE
02 Mars 2024,Responsable application,https://www.jobinfocamer.com/job/38720/responsable-application-a-startimes-media-cameroun,StarTimes Média Cameroun,Douala,CDD
01 Mars 2024,Product Material Control Executive,https://www.jobinfocamer.com/job/38717/product-material-control-executive-a-carlcare-sarl,Carlcare Sarl,Douala,CDI
01 Mars 2024,INTÉGRATEURS ERP ODOO,https://www.jobinfocamer.com/job/38711/integrateurs-erp-odoo-a-entreprise-de-la-place,Entreprise de la place,Douala,CDD
18 Janvier 2024,Gestionnaire des opérations,https://www.jobinfocamer.com/job/38360/gestionnaire-des-operations-a-davca-sarl,Davca sarl,Yaoundé,CDI
15 Janvier 2024,RESPONSABLE TECHNIQUE,https://www.jobinfocamer.com/job/38348/responsable-technique-a-entreprise-de-la-place,Entreprise de la place,Yaoundé,CDI
08 Janvier 2024,Développeur(se) Backend Java,https://www.jobinfocamer.com/job/38301/developpeur-se-backend-java-a-i-tech-sarl,I-TECH SARL,Douala,CDI
08 Janvier 2024,Développeur PHP,https://www.jobinfocamer.com/job/38289/developpeur-php-a-universal-software,UNIVERSAL SOFTWARE,Yaoundé,CDD
04 Janvier 2024,ANALYSTE-PROGRAMMEUR,https://www.jobinfocamer.com/job/38272/analyste-programmeur-a-entreprise-de-la-place,Entreprise de la place,Douala,CDD
28 Décembre 2023,Développeur Informatique,https://www.jobinfocamer.com/job/38223/developpeur-informatique-a-ads-ltd,ADS LTD,Douala,STAGE
20 Décembre 2023,Chef de Projet,https://www.jobinfocamer.com/job/38186/chef-de-projet-a-2beintech,2BeinTech,Douala,CDI
18 Décembre 2023,Développeur Full Stack,https://www.jobinfocamer.com/job/38169/developpeur-full-stack-a-2beintech,2BeinTech,Douala,CDI
13 Décembre 2023,Développeur web et mobile,https://www.jobinfocamer.com/job/38156/developpeur-web-et-mobile-a-waritis,Waritis,Yaoundé,CDI
03 Décembre 2023,Développeur web et mobile,https://www.jobinfocamer.com/job/38088/developpeur-web-et-mobile-a-universal-software,UNIVERSAL SOFTWARE,Douala,CDD
30 Novembre 2023,Développeur BackEnd,https://www.jobinfocamer.com/job/38061/developpeur-backend-a-boost-compagny,BOOST COMPAGNY,Yaoundé,CDD
21 Novembre 2023,Développeur Web Fullstack,https://www.jobinfocamer.com/job/38018/developpeur-web-fullstack-a-tradingpool-sarl,TRADINGPOOL SARL,Douala,CDI
14 Novembre 2023,Développeur Windev,https://www.jobinfocamer.com/job/37984/developpeur-windev-a-cgi-sarl,CGI SARL,Douala,CDI
09 Novembre 2023,Intelligence Artificielle,https://www.jobinfocamer.com/job/37931/intelligence-artificielle-a-wekhi-inc-,Wekhi Inc.,Douala,STAGE
31 Octobre 2023,Data Analyst,https://www.jobinfocamer.com/job/37885/data-analyst-a-nestle-foods,Nestlé Foods,Douala,CDI
30 Octobre 2023,Spécialiste en Référencement Web,https://www.jobinfocamer.com/job/37860/specialiste-en-referencement-web-a-imw,IMW,Yaoundé,CDI
18 Octobre 2023,Développeur Full Stack,https://www.jobinfocamer.com/job/37804/developpeur-full-stack-a-y-note-sarl,Y-NOTE Sarl,Yaoundé,STAGE
18 Octobre 2023,DÉVELOPPEUR WEB,https://www.jobinfocamer.com/job/37800/developpeur-web-a-mk-ba,MK BA,Douala,CDD
13 Octobre 2023,DÉVELOPPEUR ODOO FULLSTACK,https://www.jobinfocamer.com/job/37780/developpeur-odoo-fullstack-a-success-consults,SUCCESS CONSULTS,Yaoundé,CDI
13 Octobre 2023,Responsable Sécurité Informatique,https://www.jobinfocamer.com/job/37778/responsable-securite-informatique-a-wafacash-central-africa,WAFACASH CENTRAL AFRICA,Douala,CDI
09 Octobre 2023,DÉVELOPPEUR PHP/LARAVEL,https://www.jobinfocamer.com/job/37740/developpeur-php-laravel-a-ilink-world-corporation,iLink World Corporation,Douala,STAGE
09 Octobre 2023,DÉVELOPPEUR REACT-NATIVE,https://www.jobinfocamer.com/job/37739/developpeur-react-native-a-ilink-world-corporation,iLink World Corporation,Douala,STAGE
09 Octobre 2023,Développeur SAP,https://www.jobinfocamer.com/job/37738/developpeur-sap-a-veotys-sarl,VEOTYS SARL,Douala,STAGE
04 Octobre 2023,ASSISTANT IT,https://www.jobinfocamer.com/job/37719/assistant-it-a-homepro-cameroon-limited,HOMEPRO CAMEROON LIMITED,Douala,CDD
27 Septembre 2023,Développeur Freelance,https://www.jobinfocamer.com/job/37672/developpeur-freelance-a-hygironde,Hygironde,Douala,CDI
22 Septembre 2023,INFORMATICIEN,https://www.jobinfocamer.com/job/37644/informaticien-a-davca-sarl,DAVCA SARL,Yaoundé,CDI
21 Septembre 2023,Développeur Backend PHP,https://www.jobinfocamer.com/job/37638/developpeur-backend-php-a-twingo-sarl,Twingo SARL,Yaoundé,CDD
21 Septembre 2023,Testeur/Testeuse logiciel informatique,https://www.jobinfocamer.com/job/37635/testeur-testeuse-logiciel-informatique-a-kozao-africa,Kozao Africa,Douala,CDI
07 Septembre 2023,Développeur Web,https://www.jobinfocamer.com/job/37515/developpeur-web-a-startpoint,StartPoint,Yaoundé,CDI
05 Septembre 2023,Data Engineer,https://www.jobinfocamer.com/job/37488/data-engineer-a-ikwen-sarl,IKWEN SARL,Yaoundé,CDD
05 Septembre 2023,Informaticien - Développeur,https://www.jobinfocamer.com/job/37486/informaticien-developpeur-a-vicky-k-consulting,Vicky K Consulting,Douala,CDI
03 Septembre 2023,Développeur Full Stack Java Angular,https://www.jobinfocamer.com/job/37474/developpeur-full-stack-java-angular-a-entreprise-de-la-place,Entreprise de la place,Douala,CDD
31 Août 2023,Développeur Fullstack,https://www.jobinfocamer.com/job/37459/developpeur-fullstack-a-big-data-solution,Big Data Solution,Yaoundé,CDI
30 Août 2023,Technicien en réseaux et télécom,https://www.jobinfocamer.com/job/37455/technicien-en-reseaux-et-telecom-a-imagine-plus-ltd,IMAGINE PLUS LTD,Yaoundé,CDD
29 Août 2023,Ingénieur informatique,https://www.jobinfocamer.com/job/37445/ingenieur-informatique-a-archipel,ARCHIPEL,Douala,STAGE
18 Août 2023,Data scientist IA NLP,https://www.jobinfocamer.com/job/37369/data-scientist-ia-nlp-a-big-data-solution,Big Data Solution,Yaoundé,STAGE
13 Août 2023,Enseignants associés,https://www.jobinfocamer.com/job/37329/enseignants-associes-a-paris-formations,PARIS FORMATIONS,"Douala, Yaoundé, Bafoussam",CDI
31 Juillet 2023,Développeur ODOO,https://www.jobinfocamer.com/job/37248/developpeur-odoo-a-success-consults,SUCCESS CONSULTS,Douala,CDI
19 Juillet 2023,ADMINISTRATEUR BASE DE DONNEES,https://www.jobinfocamer.com/job/37137/administrateur-base-de-donnees-a-focep-sa,FOCEP SA,Yaoundé,CDI
12 Juillet 2023,Développeur Web /Mobile,https://www.jobinfocamer.com/job/37090/developpeur-web-mobile-a-donsyl,DONSYL,Yaoundé,CDI
10 Juillet 2023,Développeur Web,https://www.jobinfocamer.com/job/37061/developpeur-web-a-twingo-sarl,Twingo Sarl,Yaoundé,STAGE
07 Juillet 2023,Développeur OpenStack,https://www.jobinfocamer.com/job/37048/developpeur-openstack-a-hosting-and-security-services,Hosting and Security Services,Douala,CDI
07 Juillet 2023,Développeur Web,https://www.jobinfocamer.com/job/37046/developpeur-web-a-utecq,UTECQ,Yaoundé,STAGE
06 Juillet 2023,Ingénieur d'étude et développement Java,https://www.jobinfocamer.com/job/37038/ingenieur-d-etude-et-developpement-java-a-ditranov,DITRANOV,Yaoundé,CDI
03 Juillet 2023,Développeur Web,https://www.jobinfocamer.com/job/37016/developpeur-web-a-ibloomb,Ibloomb,Douala,CDI
30 Juin 2023,UI/UX WebDesigner,https://www.jobinfocamer.com/job/37005/ui-ux-webdesigner-a-engie-soft-sarl,Engie Soft SARL,Douala,CDI
30 Juin 2023,DÉVELOPPEUR ANGULAR,https://www.jobinfocamer.com/job/37004/developpeur-angular-a-mg-softwares,MG Softwares,Partout,STAGE
27 Juin 2023,INFORMATICIEN ET COMMERCIAL,https://www.jobinfocamer.com/job/36991/informaticien-et-commercial-a-entreprise-de-la-place,Entreprise de la place,Douala,CDI
24 Juin 2023,Service Desk Delivery Supervisor,https://www.jobinfocamer.com/job/36969/service-desk-delivery-supervisor-a-issm,ISSM,Douala,CDD
23 Juin 2023,IT INFRASTRUCTURE ENGINEER,https://www.jobinfocamer.com/job/36967/it-infrastructure-engineer-a-pan-african-savings-loans-cameroun-s-a,PAN AFRICAN SAVINGS & LOANS CAMEROUN S.A,Douala,CDI
18 Juin 2023,RESPONSABLE IT,https://www.jobinfocamer.com/job/36912/responsable-it-a-paris-formations,PARIS FORMATIONS,Douala,CDI
15 Juin 2023,Développeur Junior Java,https://www.jobinfocamer.com/job/36898/developpeur-junior-java-a-new-generation-consulting,NEW GENERATION CONSULTING,Douala,CDD
10 Juin 2023,Senior Fullstack Developer,https://www.jobinfocamer.com/job/36863/senior-fullstack-developer-a-eternal-company-limited,Eternal Company Limited,Douala,CDI
09 Juin 2023,Développeur .net Full stack,https://www.jobinfocamer.com/job/36858/developpeur-net-full-stack-a-institute-of-professional-excellence,INSTITUTE OF PROFESSIONAL EXCELLENCE,Douala,CDI
07 Juin 2023,DEVELOPPEURS WEB- Front PHP,https://www.jobinfocamer.com/job/36849/developpeurs-web-front-php-a-success-consults,SUCCESS CONSULTS,Douala,CDI
06 Juin 2023,Junior Software Engineer,https://www.jobinfocamer.com/job/36846/junior-software-engineer-a-adipster-tech-limited,Adipster Tech Limited,Yaoundé,CDI
06 Juin 2023,Technicien Réseau,https://www.jobinfocamer.com/job/36844/technicien-reseau-a-twingo-sarl,Twingo SARL,Yaoundé,STAGE
05 Juin 2023,Consultant SAP HCM,https://www.jobinfocamer.com/job/36836/consultant-sap-hcm-a-ibn-group,IBN GROUP,Yaoundé,STAGE
